Subtype,Genotypes,PB2,PB1,PA,HA,NP,NA,MP,NS
H5N8,A,20,20,20,20,20,20,20,20
NA,B,1,27,1,20,1,30,20,20
H5N1,C,1,1,1,20,1,1,20,1
NA,D,20,20,20,20,20,27,20,20
H5N5,E,20,20,29,20,20,27,20,20
,F,27,20,29,20,37,27,20,20
H5N3,G,31,31,32,20,12,17,20,1
H5N5,H,20,31,29,20,27,27,20,20
H5N5,I,25,14,25,20,26,27,20,28
H5N4,J,31,18,5,20,26,2,20,28
H5N8,K,31,14,24,20,26,20,20,29
H5N5,L,25,1,1,20,1,27,20,1
NA,M,20,20,14,20,20,20,20,20
H5N5,N,12,33,20,20,36,35,20,20
H5N8,O,20,29,14,20,20,20,20,20
H5N4,P,31,23,14,20,26,2,20,28
H5N8,Q,20,20,20,20,26,20,20,20
H5N5,R,20,20,29,20,15,27,20,20
H5N8,S,20,20,29,20,20,20,20,20
H5N5,T,25,1,1,20,1,27,20,20
H5N8,U,20,20,29,20,15,20,20,20
H5N1,V,34,1,1,20,1,1,20,1
NA,X,20,9,14,20,16,1,20,20
H5N1,AA,1,1,1,20,26,1,20,1
H5N1,AB,31,1,3,20,38,1,20,1
H5N1,AC,4,1,1,20,1,1,20,1
H5N1,AD,4,1,1,20,31,1,20,1
H5N1,AE,4,1,1,20,15,1,20,1
H5N1,AF,12,6,1,20,50,1,20,29
H5N1,AG,12,6,1,20,50,1,20,1
H5N1,AH,12,1,1,20,1,1,20,1
H5N1,AI,7,1,8,20,37,1,20,29
H5N1,AJ,10,1,1,20,1,1,20,1
H5N1,AK,10,1,3,20,38,1,20,1
H5N1,AL,1,1,1,20,11,1,20,1
H5N1,AM,1,1,1,20,12,1,20,1
H5N1,AN,31,1,1,20,1,1,20,1
H5N1,AO,13,1,1,20,38,1,20,1
H5N1,AQ,31,1,8,20,37,1,20,6
H5N3,AR,1,18,14,20,16,17,16,6
H5N1,AS,1,1,3,20,38,1,20,1
H5N1,AT,12,1,1,20,37,1,20,1
H5N2,AU,19,1,14,20,21,22,20,1
H5N1,AV,1,1,3,20,1,1,20,1
H5N1,AW,4,23,1,20,11,1,20,6
H5N1,AX,31,1,1,20,38,1,20,1
H5N1,AY,1,1,24,20,38,1,20,1
H5N1,AZ,1,31,1,20,12,1,20,1
H5N1,BA,13,1,1,20,1,1,20,1
H5N1,BB,31,1,39,20,39,1,20,39
H5N1,BC,13,31,39,20,37,1,20,6
H5N1,BD,31,31,8,20,26,1,20,1
H5N1,BE,4,1,14,20,26,1,20,1
NA,BF,13,1,1,20,11,1,20,1
H5N1,CA,31,1,3,20,7,1,20,1
H5N1,CB,32,1,3,20,38,1,20,1
H5N1,CC,12,1,8,20,38,1,20,1
H5N1,CD,31,1,3,20,37,1,20,29
H5N1,CE,44,1,3,20,38,1,20,1
H5N1,CF,31,1,3,20,45,1,20,1
H5N1,CG,4,1,3,20,26,1,20,1
H5N1,CH,31,1,3,20,26,1,20,1
H5N1,CI,10,1,12,20,38,1,20,1
H5N2,CJ,46,6,32,20,26,22,47,1
NA,CK,4,1,3,20,38,1,20,1
H5N1,CL,31,1,48,20,38,1,20,1
H5N1,CM,31,49,3,20,38,1,20,1
H5N1,CN,31,31,3,20,26,1,20,1
NA,CP,31,31,3,20,38,1,20,1
NA,CQ,31,1,3,20,37,1,20,1
NA,CR,31,1,3,20,38,1,20,28
NA,CS,34,1,3,20,38,1,20,51
NA,CT,31,1,43,20,43,1,20,1
NA,CU,NA,29,NA,20,37,1,20,6
H5N1,CO,31,1,3,20,12,1,20,1
NA,I,25,14,25,20,26,27,20,28
NA,DA,4,52,3,20,38,1,20,27
NA,DB,31,53,3,20,38,1,20,1
NA,DC,41,53,32,20,36,1,20,1
NA,DD,41,1,54,20,55,1,20,56
NA,DE,41,53,54,20,55,1,20,56
NA,DF,31,1,25,20,43,1,20,43
NA,DG,57,1,14,20,38,1,20,1
